,,,1,A Furlong Too Late,6.6,91,2 oz Light rum,4 oz Ginger beer,1 twist of Lemon peel
3051,Irish Russian,7.4,17,1 shot Vodka,1 shot Kahlua,1 dash Coca-Cola,Fill with Guinness stout,,
3052,Tequila and Tonic,6.7,748,2 1/2 oz Gold tequila,Fill with Tonic water,,,,
3053,Wolfsbane,5.3,7,2 oz Vodka,1 1/2 oz Cherry brandy,1/2 oz Cream,1 Egg white,,
3054,Chocolate Covered Banana,8.7,6,1 oz Creme de Banane,1/2 oz Dark Creme de Cacao,Fill with Cream,,,
3055,Smooth Black Russian,8.0,10,1 shot Vodka,1 shot Kahlua,1 dash Coca-Cola,1 dash Guinness stout,,
3056,Auburn Headbanger,5.9,61,1 oz Jägermeister,1 oz Goldschlager,,,,
3057,Paisano,7.0,6,1/2 oz Vodka,1/2 oz Frangelico,,,,
3058,Kamikaze Version,6.5,53,3/4 oz Vodka,1/4 oz Triple sec,1/4 oz Blue Curacao,,,
3059,Body Shot,6.4,263,1 oz Vodka,1 package Sugar,1 wedge Lemon,,,
3060,Green Froggy,6.4,43,2 shots Vodka,1 glass Mountain Dew,,,,
3061,Mexican H'ors d'oeuvre,7.9,14,1 shot Tequila,1 slice Jalapeno,1 dash Tabasco sauce,,,
3062,Pink Panty Pulldowns #2,8.6,13,1 fifth Vodka,3 oz Lemon juice,9 oz Cherries,2 L Sprite,,
3063,Zima Blaster,7.5,8,12 oz Zima,3 oz Chambord raspberry liqueur,,,,
3064,Colorado Pitbull,7.2,17,3 shots Spiced rum,3 shots Kahlua,3 splashes Cream,3 splashes Coca-Cola,,
3065,Rockin' Killer Koolaid,9.5,25,1/2 oz Gin,1/2 oz Amaretto,1/2 oz Melon liqueur,1/2 oz Vodka,,
3066,Cherry Cheesecake,6.6,82,3/4 jigger Vanilla schnapps,Fill with Cranberry juice,,,,
3067,Unabomber,7.5,26,1/4 shot Gin,1/4 shot Vodka,1/4 shot Triple sec,1/4 shot Lime juice,,
3068,Mortuary Mix,8.0,6,8 oz Everclear,25 oz Collins mix,,,,
3069,Dirty Martini,6.0,333,2 oz Gin,1 tblsp Dry Vermouth,2 tblsp Olive juice,2 Olive,,
3071,Buccaneer,5.1,16,1 Corona,1 shot Bacardi Limon,,,,
3073,Gin Bucket,6.9,14,1 L Gin,1 can frozen Fruit punch,1 can frozen Lemonade,1 can frozen Limeade,1 bottle diced Cherries,
3074,The Moby,7.6,14,4 oz Vodka,8 oz Surge,,,,
3075,Bushwacker #1,6.4,124,4 oz Cream of coconut,2 oz Kahlua,1 oz Bacardi Black rum,1 oz Dark Creme de Cacao,4 oz Milk,2 cups Ice
3076,Coco's Cocktail,4.2,5,1 cl Gin,1 cl Campari,1 cl Dry Vermouth,1 slice Lime,,
3078,Popper,6.1,59,1/2 shot Tequila,1/2 shot 7-Up,,,,
3079,Electric Lemonade #2,7.9,12,3/4 oz Blue Curacao,3/4 oz Light rum,2 oz Sweet and sour,1 splash Coca-Cola,,
3080,Homemade Kahlua,6.5,58,2 1/2 cups Sugar,1 cup Corn syrup,1 1/2 oz instant Coffee,2 oz Vanilla extract,3 cups boiling Water,1 fifth Vodka
3081,Coconut Frappe,6.1,54,2 parts Bailey's irish cream,1 part Malibu rum,2 parts Milk,,,
3082,Blow Job #4,6.8,23,3 cl Green Creme de Menthe,1 1/2 cl Bailey's irish cream,,,,
3083,Orgasm #3,7.0,4,2 cl Orange liqueur,2 cl Bailey's irish cream,Strawberry or Cherry,,,
3084,Multiple Orgasm #1,4.6,14,2 cl Orange liqueur,2 cl Bailey's irish cream,3 cl Milk,,,
3085,Screaming Multiple Orgasm,7.5,15,2 cl Orange liqueur,2 cl Bailey's irish cream,1 1/2 cl Galliano,3 cl Milk,,
3086,Twains Orgasm,4.0,20,2 cl Peach schnapps,1 cl Bailey's irish cream,,,,
3087,Dirty Orgasm,7.6,11,1 part Orange liqueur,1 part Galliano,1 part Bailey's irish cream,,,
3088,Vibrator,5.8,24,2 parts Southern Comfort,1 part Bailey's irish cream,,,,
3089,Chastity Belt,6.8,5,2 cl Tia maria,1 cl Hazelnut liqueur,1 cl Bailey's irish cream,1/2 cl Cream,,
3090,Martian Hard On,6.9,10,1 part Creme de Cacao,1 part Melon liqueur,1 part Bailey's irish cream,,,
3091,Suitor,5.8,4,1 cl Drambuie,1 cl Orange liqueur,1 cl Bailey's irish cream,2/3 cl Milk,,
3092,Prarie Fire,6.3,105,1 oz Tequila,2 tsp Tabasco sauce,,,,
3093,Screwdriver with Color,7.0,28,,,,,,
3094,Purple Cow #2,8.6,17,1 oz Kahlua,1/2 oz Chambord raspberry liqueur,Fill with Milk,,,
3095,Witch's Brew,6.1,15,2 oz Yellow Chartreuse,1 1/2 oz Blue Curacao,1/2 oz Brandy,1/4 tsp ground Cloves,1 dash Nutmeg,1 dash Allspice
3096,24k nightmare,6.1,147,1/2 oz Goldschlager,1/2 oz Jägermeister,1/2 oz Rumple Minze,1/2 oz Bacardi 151 proof rum,,
3097,Yellow Parakeet,6.6,38,1 oz Midori melon liqueur,1/2 oz Banana,1/2 oz Light rum,2 counts Orange juice,1 count Pineapple juice,1 splash Sour mix
3098,Red Royal,7.8,20,1 oz Crown Royal,1 oz Amaretto,fill Cranberry juice,1 splash 7-Up,,
3100,Warm Witch's Blood,5.9,13,4 cups Apple-cranberry juice,2 cups Orange juice,1 tsp whole Cloves,1 stick Cinnamon,3-4 Allspice,1-2 tblsp Sugar
3101,Caribbean Boilermaker,5.2,11,1 bottle Corona,1 shot Light rum,,,,
3102,Army special,6.4,147,30 ml Vodka,30 ml Gin,45 ml Lime juice cordial,1/2 glass crushed Ice,,
3103,Sweetie,6.5,8,1 1/2 shot Kahlua,1 shot Vodka,3 tblsp Cream,Fill with Cream soda,,
3104,Swift kick in the Ass,6.9,19,1 part Vodka,3 parts Aftershock,,,,
3105,Frog in a blender,7.7,18,2 shots Vodka,2 shots blue Maui,2 splashes Grenadine,8 oz Orange juice,,
3106,French Monkey,6.7,10,2/3 glass Red wine,1/3 glass Orangina Orange soda,,,,
3107,Black Russian #2,6.4,82,3 cl Vodka,3 cl Coffee liqueur,15 cl Coca-Cola,,,
3108,Heilig,8.2,10,1/2 shot Blueberry schnapps,1/2 shot Vodka,splash Cranberry juice,,,
3109,Sex on the Beach #11,6.3,596,1 1/2 oz Vodka,1 1/2 oz Peach schnapps,1/2 glass Orange juice,1/2 glass Cranberry juice,,
3111,Green-eyed Bi,7.0,6,1/4 shot Kiwi liqueur,3/4 shot Vodka,,,,
3112,Lucky Lindeman,8.6,7,1/4 gal Vodka,1 can Tropicana,,,,
3113,Boswandeling (A walk in the woods),6.4,44,3 cl Vodka,2 cl Triple sec,5 dashes Angostura bitters,,,
3114,Tequila Slammer,6.4,120,1/2 Tequila,1/2 7-Up,,,,
3115,Baby Guinness,6.2,223,2 1/2 oz Kahlua,1/2 oz Bailey's irish cream,,,,
3116,Nelson special,8.3,22,1 1/2 oz dry Gin,Fill 1/4 Cranberry juice,Fill with Tonic water,,,
3117,Rye & Pepper,7.3,12,2 oz Rye whiskey,1/2 can Dr. Pepper,,,,
3118,Delilah,9.0,25,1 1/2 oz Gin,1/2 oz Cointreau,Juice of 1/2 Lemon,,,
3119,Rum and Coke,6.1,610,4 oz Rum,8 oz Coca-Cola,,,,
3121,Smurf-o-tonic,6.4,37,4 cl Gin,2 cl Blue Curacao,Fill with Tonic water,1 Lime,,
3122,Jesus is Here,8.0,19,20 cl Schweppes Russchian,19 cl Vodka,,,,
3123,Russian Qualude #3,6.9,8,1 oz Coffee liqueur,1 oz Irish cream,1 oz Orange liqueur,1 oz Hazelnut liqueur,1 oz Vodka,
3124,The Italian Job,5.0,3,4 shots Vodka,3 oz Cointreau,5 oz Pineapple juice,Fill with Blackcurrant squash,Top with fresh Cream,
3125,Texas Prairie Fire,5.9,17,3/4 oz Tequila,3-5 dashes Tabasco sauce,,,,
3126,Citron my face,9.1,19,1 oz Absolut Citron,1/2 oz Grand Marnier,1-1/2 oz Sour mix,1 oz 7-Up,,
3127,Elmer Fudpucker,8.1,17,2 cans light Beer,2 cans Sprite,12 oz frozen Lemonade,12 oz Vodka,,
3128,Peach Fuzz,9.2,13,6 oz frozen Limeade,6 oz Vodka,2 medium ripe Peach,,,
3129,Geneva Convention,6.3,3,2 oz Vodka,1/2 oz Goldschlager,1/2 oz Everclear,,,
3130,Alice in Wonderland,6.5,128,1 shot Amaretto,1 shot Grand Marnier,1 shot Southern Comfort,,,
3131,Fuzzy Cooter,6.6,9,Fill with Orange juice,Fill With Ginger ale,Fill With Lemonade,2 shots Vodka,2 shots Peach schnapps,
3132,Flying Monkey,8.1,21,1/3 oz Kahlua,1/3 oz Banana liqueur,1/3 oz Bailey's irish cream,,,
3133,Antifreeze #2,5.9,9,2 oz Smirnoff Vodka,2 tsp Lemon-lime mix,1 cup Water,,,
3134,Blue Dog,8.6,22,2 oz Vodka,5 oz Grapefruit juice,,,,
3135,Columbia Gold,9.7,3,1 1/4 oz Yukon Jack,3/4 oz Strawberry liqueur,4 oz Orange juice,,,
3136,Fuzzy Ass,7.3,19,2 oz Absolut Citron,1 1/2 oz Peach schnapps,1 oz Sour mix,1 tsp Grenadine,1 oz Triple sec,Fill With Sprite
3137,Bushwacker #4,5.9,8,2 shots Irish whiskey,1 shot Irish cream,3-4 cubes Ice,,,
3138,Root Canal,6.6,5,1/4 oz Peppermint schnapps,2 oz Root beer schnapps,Fill with Dr. Pepper,,,
3139,Summer Mind Eraser,4.6,7,3 cl Peach schnapps,3 cl Midori melon liqueur,Top with Champagne,,,
3140,410 Gone,nan,0,,,,,,
3141,501 Blue,6.3,125,,,,,,
3142,Airhead,6.4,120,1 1/2 oz Peach schnapps,Fill with Cranberry juice,,,,
3143,Dolphin's Foam,6.7,6,50 ml Piña Colada,50 ml Blue Curacao,,,,
3144,Coke and Drops,5.5,30,1 dl Coca-Cola,7 drops Lemon juice,,,,
3146,Flying Squadron,4.2,56,7 cubes Ice,4 oz Jack Daniels,12 oz Pepsi Cola,,,
3147,I.V. (Italian Valium),5.9,27,2/3 oz Amaretto,1/3 oz Gin,,,,
3149,Separator,8.5,13,1/2 oz Kahlua,1 oz Brandy,Fill with Milk,,,
3150,Ruby Tuesday,8.1,10,2 oz Gin,5 oz Cranberry juice,2 splashes Grenadine,,,
3151,Purple Hooter Shooter,6.3,237,1 1/2 oz Vodka,1/2 oz Rose's sweetened lime juice,1 dash Chambord raspberry liqueur,,,
3152,Peppermint Pattie,7.8,17,1 oz white Creme de Cacao,1 oz White Creme de Menthe,,,,
3153,Sweet Tart - Loyalist Rez,8.2,11,6 oz Blue Curacao,4 oz Banana liqueur,2 oz Lemon juice,1 2/3 oz Cranberry juice,1/3 oz Amaretto,
3154,Arctic Mouthwash,8.0,16,5 oz blue Maui,5 oz Mountain Dew,,,,
3156,Brain Fart,7.7,27,1 fifth Everclear,1 fifth Smirnoff red label Vodka,2 L Mountain Dew,2 L Surge,1 small bottle Lemon juice,1 pint Rum
3157,Black Martini #2,5.8,157,4 1/2 oz Vodka,2 oz Chambord raspberry liqueur,1 oz Blue Curacao,,,
3158,Royal Bitch,6.1,15,1 part Frangelico,1 part Crown Royal,,,,
3159,Psycho,6.9,8,4 cl Rum,2 cl Galliano,8 cl Orange juice,8 cl Pineapple juice,2 cl Grenadine,
3160,Purple Motherfucker #2,6.6,45,1/2 oz Blue Curacao,1/2 oz Southern Comfort,1/2 oz Amaretto,1 part Cranberry juice,,
3161,Iceberg in Radioactive water #2,7.3,11,2 shots Midori melon liqueur,2 shots Banana liqueur,1 scoop Ice-cream,1 shot Vodka,Fill with Pineapple juice,1 shot Malibu rum
3162,Lina,7.5,11,1/3 Gin,1/3 Midori melon liqueur,1/3 Sprite,2 slices Lemon,,
3163,Big Apple,4.6,7,2 oz Vodka,Fill with Apple juice,1 tsp Green Creme de Menthe,,,
3164,Small Bomb #2,6.3,44,2 shots Melon liqueur,2 shots Everclear,,,,
3165,Nan's special,8.2,8,30 ml Vodka,30 ml 7-Up,60 ml Soda water,Juice of 1/2 Lemon,Dash of Salt,
3166,Wet Snatch,7.4,13,5 parts chopped Ice,3 parts Tequila,1 part Vanilla syrup,2 parts Coconut milk,1 part blue Raspberry juice,2 parts Pineapple juice
3167,Dogs Bollocks,6.3,12,7 oz Melon vodka,12 oz Lager,Add 2 dashes Lime juice,,,
3168,Purple Shroud,6.0,9,1 oz Vodka,3/4 oz Sloe gin,3/4 oz Blue Curacao,,,
3169,Hairball,7.0,6,1/3 glass hard Cider,1/3 glass Guinness stout,1 oz Irish whiskey,,,
3170,Duck Shit Inn,5.6,40,1/2 oz Kahlua,1/2 oz Midori melon liqueur,1/2 oz Bailey's irish cream,1/2 oz Tequila,,
3171,Citrus Coke,6.4,115,1 part Bacardi Limon,2 parts Coca-Cola,,,,
3173,Dakota,6.1,16,1 1/2 oz Bourbon,1 1/2 oz Tequila,,,,
3174,Snow Blinder,4.8,6,2 oz Vodka,2 scoops Vanilla ice-cream,1 glass Lemonade,,,
3176,Ethiopian Camel Basher,8.1,15,1 part Orange juice,Add 1 part Vodka,Add 1 dash Grenadine,,,
3177,Smut,4.4,12,1/3 part Red wine,1 shot Peach schnapps,1/3 part Pepsi Cola,1/3 part Orange juice,,
3178,Brown Cow #2,8.3,23,2 Ice,,,,,
3179,Silk Panties,6.5,79,1/2 oz Peach schnapps,1 1/2 oz Vodka,,,,
3180,Slippery Box,4.6,7,1 1/2 oz Absolut Citron,1 1/2 oz Southern Comfort,1 1/2 oz Everclear,Fill with Purplesaurus-Rex Kool-Aid,,
3181,The Feckin Bolox,8.6,5,1/3 part Galliano,1/3 part Bailey's irish cream,1/3 part Cointreau,,,
3182,Titty Excreation,7.7,25,1/3 Butterscotch schnapps,2/3 Mountain Dew,,,,
3183,The Angry German,6.4,514,1 part Amaretto,1 part Blackberry schnapps,1 part Jägermeister,2 parts Rose's sweetened lime juice,1 dash Salt,
3184,Dirty Mexican Lemonade,8.6,20,8 oz Lemonade,4 oz Vodka,2 oz Sprite,,,
3185,Hot Apple Pie #2,9.7,24,1/2 shot Bailey's irish cream,1/2 shot Goldschlager,1 dash Cinnamon,,,
3186,Skull,6.7,7,1/3 shot Coffee liqueur,1/3 shot Irish cream,1/3 shot Bourbon,,,
3187,Bend Me Over,6.0,51,1 oz Amaretto,1 oz Sweet and sour,Fill with Orange juice,,,
3188,Apple Slut,6.4,50,1 shot Sour Apple Pucker,1 shot Citrus vodka,Fill with Sprite,,,
3190,Scotty Boy,8.3,9,Fill with Sour mix,splash Soda water,,,,
3191,Lemon Lightning,6.0,47,1 part Everclear,1 part Lemon juice,,,,
3192,The Party Girl,6.7,3,2 parts Cranberry juice,1 part Raspberry liqueur,1 part Absolut Kurant,,,
3193,The Three Wise Men,6.2,45,1/3 shot Jägermeister,1/3 shot Goldschlager,1/3 shot Peppermint schnapps,,,
3194,Death of a Virgin,6.7,47,1 1/2 oz Vodka,1 1/2 oz Peach schnapps,1 oz Lime juice,,,
3195,Dirtiest Ernie,5.3,9,2/3 oz Bacardi 151 proof rum,2/3 oz Everclear,2/3 oz Rumple Minze,,,
3196,Gangbuster Punch,8.1,17,1 1/2 oz Vodka,1 1/2 oz Peach schnapps,1 oz Cranberry juice,1 splash 7-Up,,
3197,Pixie Stick,8.4,13,1 1/2 oz Gin,1 1/2 oz Midori melon liqueur,Fill with 7-Up,,,
3198,Red Lion,7.0,67,1/3 part dry Gin,1/3 part Grand Marnier,1/6 part Orange juice,1/6 part Lemon juice,,
3199,Black Orchid,7.9,13,1 part Blue Curacao,1 part Dark rum,1 dash Grenadine,,,
3200,Oatmeal Raisin Cookie,6.7,60,1/5 shot Jägermeister,1/5 shot Goldschlager,1/5 shot Bacardi 151 proof rum,1/5 shot Kahlua,1/5 shot Bailey's irish cream,
3201,Bjorns Moscow Mule,7.4,16,6 cl Vodka,3 cl Lemon juice,Fill with Ginger ale,,,
3202,Field of Green,9.6,8,1 oz Sloe gin,1 oz Amaretto,1/2 glass 7-Up,,,
3203,Raspberry Cooler,8.7,15,2 oz Raspberry vodka,4 oz Lemon-lime soda,,,,
3204,Amaretto Sunset,6.9,12,1/2 jigger Triple sec,3 shots Amaretto,1/2 cup Cider,Add 1/2 cup Ice,,
3205,Crantini,5.9,84,1 1/2 oz Vodka,1/2 oz Triple sec,1/2 oz Vermouth,4 oz Cranberry juice,,
3206,Jamaican Screw,6.0,45,4 oz Malibu rum,4 oz Orange juice,,,,
3208,Pumpkin Eater,3.0,1,1 1/2 oz Light rum,1 oz Orange Curacao,1/2 oz Triple sec,1 oz Orange juice,1/2 oz Cream,
3209,Fuzzy Martini,7.0,15,2 1/2 oz Vodka,1 oz Peach schnapps,1 slice Peach,,,
3210,Apple Judy,5.6,18,1/2 oz Grand Marnier,1/2 oz Vodka,3 oz Apple juice,,,
3211,Bleeding Orgasm,6.8,45,1 bottle Vodka,1 bottle Bacardi 151 proof rum,2 cans Cranberry juice,1 Pineapple,1 Mountain Dew,
3212,Love Potion #159,6.2,52,1 oz Vodka,1 oz Amaretto,1 oz Peach schnapps,1 oz Orange juice,1 oz Cranberry juice,
3213,Wet Crotch,5.9,44,1 oz Triple sec,1 oz Bailey's irish cream,1 oz Chambord raspberry liqueur,,,
3214,Deep-7,8.0,22,1 1/2 oz Amaretto,1 1/2 oz Coconut rum,6 oz 7-Up,,,
3215,Halfway Special,3.4,7,5 oz Orange juice,1 oz Absolut Citron,1 oz Blackberry schnapps,1 oz Malibu rum,2 dashes Grenadine,
3216,Bitches Tit,7.5,17,1 oz Chambord raspberry liqueur,8 oz Cream,,,,
3217,Bloody Smurf,5.9,39,1 1/2 oz Blueberry schnapps,8 oz Cranberry juice,,,,
3218,Jägermonster,6.5,38,1 shot Jägermeister,1 shot Grenadine,5 oz Orange juice,,,
3219,Flamming Gorrilla Titties,6.4,39,1 oz Bacardi 151 proof rum,1 oz Kahlua,,,,
3220,Soda Cracker,6.9,10,2 shots Vodka,1 shot Frangelico,1 glass Ice,,,
3221,Bacardi Stinger,6.3,41,1/4 Amaretto,1/4 Bacardi 151 proof rum,1/2 Coca-Cola,,,
3222,BearCat Special,7.9,18,1/2 shot Bacardi 151 proof rum,1/2 shot Peppermint schnapps,,,,
3223,Dead Lizard,7.7,7,,,,,,
3224,Jilly,8.7,13,1 oz Vodka,1 splash Cranberry juice,1 wedge Lime,,,
3225,The Bozek,5.8,12,3 oz Vodka,1/4 cup Lime juice,1/2 cup Pineapple juice,,,
3226,Killer Sniff,7.7,6,4 cl Sambuca,2 cl Blue Curacao,,,,
3228,Cherry Comfort,6.0,44,1 oz Southern Comfort,4 oz Cherry Cola,,,,
3229,Fruity Pebbles,8.8,21,Strawberry Daiquiri mix,,,,,
3230,Smartie,7.5,8,1/2 oz Grape schnapps,1/2 oz Melon liqueur,,,,
3231,Black Dragon,5.4,56,1/3 Peppermint schnapps,1/3 Kahlua,1/3 Scotch,,,
3232,Brown Hen,4.0,2,2 oz Vodka,1 tsp Angostura bitters,,,,
3233,Magic Dew,8.8,11,1/2 part blue Maui,1/2 part Mountain Dew,,,,
3234,Hilde's Special,7.7,6,2 cl Vodka,4 cl Midori melon liqueur,10-12 cl Sour mix,,,
3235,Blonde's Death,5.6,24,5 cl Rum,10 cl Red wine,15 cl Coca-Cola,Some Ice,,
3236,June Bug,6.3,177,1 part Midori melon liqueur,1 part Malibu rum,1 part Pineapple juice,,,
3237,The Mad Hungarian,6.5,63,2 shots Rum,Fill with Root beer,,,,
3238,Rock-and-Rye Toddy,7.0,4,2 oz Rock and rye,2 dashes Angostura bitters,1 slice Lemon,3 oz boiling Water,1 stick Cinnamon,grated Nutmeg
3239,Frisky Steve,6.2,4,3 oz Champagne,6 oz Ginger ale,,,,
3240,Mir,5.3,10,1 oz Vodka,1 oz Jack Daniels,Fill with Coca-Cola,,,
3241,Russian seven,9.0,5,1 1/2 oz Vodka,Fill with 7-Up,Garnish with Lime peel,,,
3242,Trashcan Punch,6.3,115,3 parts Fruit punch,2 parts Everclear,1 part Fruit,,,
3244,Southern Dream,3.2,6,2 1/2 oz Southern Comfort,3 oz Peachtree schnapps,,,,
3245,ODWITS,4.4,5,1 1/2 oz Mezcal,1 1/2 oz Vodka,1 oz Southern Comfort,Dash Galliano,Top Up Orange juice,
3246,True Alabama Slammer,5.7,184,1 oz Jack Daniels,1 oz Amaretto,1 oz Sloe gin,1 oz Southern Comfort,1 oz Orange juice,
3247,Monkey C*m,6.6,48,3/4 shot Bailey's irish cream,1/4 shot Butterscotch schnapps,,,,
3248,Tiki Torch,5.8,13,,,,,,
3249,Limonaide,6.4,42,1 part Bacardi Limon,1 part Lemonade,,,,
3250,Jogeir,9.0,1,1 cl Absolut Citron,1 cl Lime vodka,1 cl Orange juice,1 cl Galliano,,
3251,Golddigger,6.6,12,1/2 oz Jack Daniels,1/2 oz Goldschlager,,,,
3252,Kahlua #6,9.6,16,4 cups boiling Water,4 cups Sugar,1 Vanilla,2 oz instant Coffee,1 fifth Vodka,
3253,Incredible Hulk,6.0,258,2 oz Midori melon liqueur,1 oz Vodka,2 oz Mountain Dew,,,
3254,Flaming Citrus Action,7.7,3,1 part Bacardi Limon,1 part tropical Maui,2 parts Orange juice,1 drop Tabasco sauce,,
3255,Electric Jam,8.6,17,2 oz Vodka,1/2 oz Blue Curacao,Fill with 7-Up,,,
3256,Krypto Kami,8.0,19,1/2 oz Absolut Kurant,1/2 oz Midori melon liqueur,1/2 oz Peach schnapps,1/2 oz Pineapple juice,1/2 oz Sweet and sour,
3257,Flatliner,6.3,75,1 jigger Sambuca,1 shot Gold tequila,3 dashes Tabasco sauce,,,
3258,Moninger's Madness,6.9,8,1 part Vodka,1 part Scotch,1 part Orange juice,2 parts Cranberry juice,,
3259,Flying Masturbator,6.5,72,1 1/2 oz Amaretto,3/4 oz Vodka,2 parts Orange juice,1 part Cranberry juice,,
3260,Blue Edisonian,7.8,5,2 oz Campari,2 oz Brandy,1 oz Lemon juice,,,
3261,Emerald Isle #2,5.8,15,1 part Vodka,2 parts Midori melon liqueur,2 parts Mountain Dew,,,
3263,Panty Dropper,8.5,27,1 oz Kahlua,1 oz Sloe gin,Fill Half-and-half,,,
3264,Adios Mother,6.6,283,1 oz Vodka,1 oz Gin,1 oz White rum,1 oz Blue Curacao,6 oz Sour mix,6 oz 7-Up
3265,Strawberry Martini,9.1,17,1 1/2-2 oz Gin,1 tsp Dry Vermouth,1 tsp Grenadine,,,
3266,Flaming Cornholio,5.5,6,1/2 glass Tennessee whiskey,1/2 glass Orange juice,1 oz Firewater,,,
3267,Nay-Nay Strohmeyer,7.1,7,3 parts Cranberry juice,3 parts Sprite,2 parts Jack Daniels,,,
3268,Rubbermeister,6.2,12,2 parts Cherry Cola,1 part Jägermeister,,,,
3269,Mahwah Iced Tea,5.0,8,1/2 shot Jim Beam,1/2 shot Southern Comfort,Fill With Iced tea,Add 2 Ice,,
3270,Bernardete,7.4,5,2 shots Peach liqueur,1 shot Lime liqueur,Fill with Peach juice,3-4 Ice,,
3271,Black Samurai,5.5,37,1 oz Sake,1/2 oz Soy sauce,,,,
3273,Black Widow,7.8,13,1 oz Absolut Citron,1 oz Black Sambuca,,,,
3275,Apple Pie Shooter,6.6,77,Approx 2 shots Apple juice,1 shot Vodka,1 can Whipped cream,1 dash Cinnamon,,
3276,H2O,6.5,42,5 oz Vodka,3 oz Fresca,2 oz Pineapple,2 oz Orange,3 oz Lemonade,
3277,Pina Colada #2,6.4,234,2 parts Malibu rum,2 parts Pineapple juice,1 part Cream,,,
3278,Boomerang Shot,8.9,13,1/2 shot Jägermeister,1/2 shot Yukon Jack,,,,
3279,Long Beach Ice Tea,5.8,173,1 oz Triple sec,1/2 oz Rum,1/2 oz Vodka,1/2 oz Gin,Fill with Cranberry juice,Splash of 7-Up
3280,Red Velvet,8.6,8,3 cl Gin,1 cl Pisang Ambon,7 cl Sprite,1 cl Lime juice,1/2 cl Grenadine,
3281,Carl Johan,8.0,7,3 cl Gin,1 cl Pisang Ambon,1 cl Lime juice,Fill with 7 cl Schweppes Russchian,,
3282,Mother Pucker,7.1,15,1 fifth Sour Apple Pucker,1 bottle 7-Up,,,,
3284,Fuzzy Blue Gobbler,5.5,2,1 part Peach schnapps,1 part Maui,1 part Wild Turkey,,,
3285,Fuzzy Bullet,6.2,8,1 can Beer,2 1/2 shots Peach schnapps,,,,
3286,Power Drill,8.5,13,1 part Vodka,1 part Orange juice,1 splash Beer,,,
3287,Red Baron #2,9.1,13,1 1/4 oz Crown Royal,3/4 oz Amaretto,1 splash Cranberry juice,,,
3289,The Captain's Martini,5.6,5,1 1/2 oz Gin,1 tsp Vermouth,1/2 oz White Creme de Menthe,,,
3290,Pocima,4.1,14,6 cans Beer,1 L Vodka,2 gal Orange juice,,,
3291,Calimocho Torreon Special,6.2,146,1/2 glass Red wine,1/2 glass Coca-Cola,,,,
3292,Booda's Black Brew,6.8,55,1 oz Malibu rum,3/4 oz Blue Curacao,3/4 oz Chambord raspberry liqueur,1/2 oz Grenadine,Fill with Cranberry juice,Fill with Ice
3293,Upper Cut,6.5,4,4 cl Irish whiskey,4 cl Espresso,4 cl Coffee,4 tsp Brown sugar,,
3294,Lemon Twister,8.8,10,2 1/2 oz Absolut Citron,Fill with Lemonade,Garnish with Lemon,,,
3295,Bram Stoker's Dracula,8.0,8,1 1/2 oz Absolut Peppar,1 1/2 oz Tabasco sauce,1 pinch Black pepper,,,
3296,Absolut Mixer,7.2,314,1 oz Absolut Citron,1 oz Absolut Peppar,1 oz Absolut Kurant,1 oz Absolut Vodka,Fill with Orange juice,
3297,Zombie #4,6.0,6,1 oz Light rum,1/2 oz Creme de Noyaux,1/2 oz Triple sec,1 1/2 oz Sour mix,1 1/2 oz Orange juice,1/2 oz 151 proof rum
3298,Grumpy Old Man,8.8,16,2 oz Bourbon,1 oz Lime juice,,,,
3299,Grumpier Old Man,6.3,7,2 oz Bourbon,1 oz Lime juice,,,,
3300,Danini,6.7,12,2 shots Vodka,1 shot Lime juice cordial,Top with Coca-Cola,,,
3301,The Phantom,5.1,53,3 cl Licor 43,3 cl Absolut Vodka,Many cube Ice,,,
3302,Milk Shake 43,9.4,25,1 oz Licor 43,4 oz Milk,,,,
3303,Richards family,7.8,5,4 cl Vodka,4 cl Bailey's irish cream,2 cl Whiskey,30 cl Coffee,,
3304,Malibu Massage,3.0,2,1/2 oz Malibu rum,1/2 oz white Creme de Cacao,2 oz Sprite,1 oz Milk,1/3 oz Coconut syrup,1/4 oz Triple sec
3305,UFO,7.7,9,1/3 glass Genever,2/3 glass Bitter lemon,,,,
3306,Nummer 10,6.4,219,Aprox 6 cl Raspberry vodka,3-5 drops Kahlua,Fill with Schweppes Russchian,,,
3307,Flaming Kevin,4.9,19,20 oz Diet Pepsi Cola,1 oz Everclear,,,,
3308,Long Iver Iced Tea,8.2,15,1/4 oz Malibu rum,1/4 oz Vodka,1/4 oz Gin,1/4 oz Tequila,1/4 oz Triple sec,1 wedge Lemon
3309,Hawiian Tidal Wave,2.9,21,1 1/4 oz Rum,1/2 oz Peachtree schnapps,1/2 oz Blue Curacao,3 oz Sweet and sour,1 splash Lemon-lime soda,
3310,Aftershock,6.5,108,5 cl Drambuie,5 cl Malibu rum,5 cl Cherry brandy,10 cl Lemonade,,
3311,Fireball #3,8.4,7,1 part Sambuca,1 part Tequila,5-10 drops Tabasco sauce,,,
3312,Snakebite #3,7.9,24,1 part Tennessee whiskey,1 part Tequila,5-10 drops Tabasco sauce,,,
3313,Boston Burn-out,4.9,9,1 shot Root beer schnapps,1 shot Amaretto,1 shot Butterscotch schnapps,1 shot Bacardi 151 proof rum,Top off with 4 shots Irish cream,4 to 6 drops Tabasco sauce
